"","CausalType","N","A","B","Reps","simes.asym","fisher.asym","hmp.asym","simes.perm","fisher.perm","hmp.perm","efdr.js.asym.BH","efdr.jsmix.asym.BH","efdr.js.perm.BH","efdr.jsmix.perm.BH","efdr.sobel.BH","dr.js.asym.BH","dr.jsmix.asym.BH","dr.js.perm.BH","dr.jsmix.perm.BH","dr.sobel.BH"
"23",1,200,0,0.5,2000,0.0345,0.0095,0.0325,0.0345,0.006,0.0345,5e-04,0.0345,5e-04,0.0345,0,0,0,0,0,0
"49",2,200,0,0.5,2000,0.042,0.0165,0.0395,0.046,0.011,0.0405,0.001,0.042,0.0015,0.046,0,0,0,0,0,0
"75",3,200,0,0.5,2000,0.04,0.0185,0.037,0.043,0.015,0.04,0.001,0.04,0.001,0.043,0,0,0,0,0,0
"26",1,200,1e-05,0.5,2000,0.1215,0.015,0.1185,0.127,0.0135,0.1225,0,0.0158,0,0.0193,0,0.0055,0.045,0.0065,0.0455,0.0045
"52",2,200,1e-05,0.5,2000,0.168,0.041,0.1645,0.169,0.0365,0.1675,0,0.0102,0,0.0116,0,0.0075,0.0352,0.0085,0.0357,0.004
"78",3,200,1e-05,0.5,2000,0.222,0.0855,0.2235,0.227,0.077,0.227,0,0.0071,5e-04,0.0078,0,0.0035,0.0184,0.0038,0.019,0.0015
"25",1,200,1e-04,0.5,2000,0.4335,0.119,0.428,0.435,0.104,0.4305,0,0.0118,0,0.0136,0,0.098,0.1775,0.0995,0.1765,0.0715
"51",2,200,1e-04,0.5,2000,0.6045,0.2615,0.6075,0.6075,0.244,0.6105,0,0.0084,0,0.01,0,0.0813,0.1555,0.0843,0.158,0.0538
"77",3,200,1e-04,0.5,2000,0.7795,0.585,0.797,0.7835,0.565,0.7985,2e-04,0.0059,2e-04,0.0066,0,0.0565,0.1183,0.0582,0.119,0.0279
"12",1,200,0.001,0,2000,0.025,0.0025,0.0235,0.0265,0.002,0.0255,5e-04,0.025,5e-04,0.0265,0,0,0,0,0,0
"38",2,200,0.001,0,2000,0.033,0.0035,0.031,0.0375,0.0035,0.032,5e-04,0.033,5e-04,0.0375,0,0,0,0,0,0
"64",3,200,0.001,0,2000,0.042,0.007,0.04,0.0425,0.006,0.0395,5e-04,0.042,5e-04,0.0425,0,0,0,0,0,0
"20",1,200,0.001,1e-10,2000,0.032,0.0035,0.0315,0.0355,0.0025,0.0345,0,0.017,5e-04,0.02,0,0,0.006,0,0.006,0
"46",2,200,0.001,1e-10,2000,0.0335,0.005,0.03,0.0365,0.0045,0.0325,0,0.0098,0,0.0098,0,0,0.004,0,0.0043,0
"72",3,200,0.001,1e-10,2000,0.036,0.005,0.035,0.039,0.0045,0.038,0,9e-04,0,0.0014,0,1e-04,0.0043,2e-04,0.0041,1e-04
"19",1,200,0.001,1e-09,1996,0.0321,0.0035,0.0316,0.0356,0.0025,0.0346,0,0.017,5e-04,0.02,0,0,0.006,0,0.006,0
"45",2,200,0.001,1e-09,1998,0.0335,0.005,0.03,0.0365,0.0045,0.0325,0,0.0098,0,0.0098,0,0,0.004,0,0.0043,0
"71",3,200,0.001,1e-09,1995,0.0356,0.005,0.0346,0.0386,0.0045,0.0376,0,9e-04,0,0.0014,0,1e-04,0.0042,2e-04,0.004,1e-04
"18",1,200,0.001,1e-08,2000,0.032,0.0035,0.0315,0.0355,0.0025,0.0345,0,0.017,5e-04,0.02,0,0,0.006,0,0.006,0
"44",2,200,0.001,1e-08,2000,0.0335,0.005,0.03,0.0365,0.0045,0.0325,0,0.0098,0,0.0098,0,0,0.004,0,0.0043,0
"70",3,200,0.001,1e-08,2000,0.036,0.005,0.035,0.039,0.0045,0.038,0,9e-04,0,0.0014,0,1e-04,0.0043,2e-04,0.0041,1e-04
"17",1,200,0.001,1e-07,2000,0.032,0.0035,0.0315,0.0355,0.0025,0.0345,0,0.017,5e-04,0.02,0,0,0.006,0,0.006,0
"43",2,200,0.001,1e-07,2000,0.0335,0.005,0.03,0.0365,0.0045,0.0325,0,0.0098,0,0.0098,0,0,0.004,0,0.0043,0
"69",3,200,0.001,1e-07,2000,0.036,0.005,0.035,0.039,0.0045,0.038,0,9e-04,0,0.0014,0,1e-04,0.0043,2e-04,0.0041,1e-04
"16",1,200,0.001,1e-06,2000,0.032,0.0035,0.0315,0.0355,0.0025,0.0345,0,0.017,5e-04,0.02,0,0,0.006,0,0.006,0
"42",2,200,0.001,1e-06,2000,0.0335,0.005,0.03,0.0365,0.0045,0.0325,0,0.0098,0,0.0098,0,0,0.004,0,0.0043,0
"68",3,200,0.001,1e-06,2000,0.036,0.005,0.035,0.039,0.0045,0.038,0,9e-04,0,0.0014,0,1e-04,0.0043,2e-04,0.0041,1e-04
"15",1,200,0.001,1e-05,2000,0.032,0.0035,0.0315,0.0355,0.0025,0.0345,0,0.017,5e-04,0.02,0,0,0.006,0,0.006,0
"41",2,200,0.001,1e-05,2000,0.0335,0.005,0.03,0.037,0.0045,0.033,0,0.0098,0,0.0098,0,0,0.004,0,0.0043,0
"67",3,200,0.001,1e-05,2000,0.036,0.005,0.035,0.0395,0.005,0.038,0,9e-04,0,0.0014,0,1e-04,0.0043,2e-04,0.0041,1e-04
"14",1,200,0.001,1e-04,2000,0.032,0.0035,0.0315,0.0355,0.0025,0.0345,0,0.017,5e-04,0.02,0,0,0.006,0,0.006,0
"40",2,200,0.001,1e-04,2000,0.0335,0.005,0.03,0.0375,0.0045,0.033,0,0.0098,0,0.0102,0,0,0.004,0,0.0043,0
"66",3,200,0.001,1e-04,2000,0.036,0.005,0.035,0.0395,0.0045,0.038,0,9e-04,0,0.0014,0,1e-04,0.0043,2e-04,0.0041,1e-04
"1",1,200,0.001,0.001,2000,0.032,0.0035,0.031,0.035,0.003,0.034,0,0.017,5e-04,0.019,0,0,0.006,0,0.006,0
"27",2,200,0.001,0.001,2000,0.0335,0.005,0.0295,0.036,0.005,0.033,0,0.0098,0,0.0098,0,0,0.004,0,0.0043,0
"53",3,200,0.001,0.001,2000,0.0365,0.005,0.035,0.041,0.005,0.038,0,9e-04,0,0.0014,0,1e-04,0.0043,2e-04,0.0042,1e-04
"2",1,200,0.001,0.01,2000,0.032,0.0035,0.029,0.036,0.003,0.0345,0,0.0163,5e-04,0.0187,0,0,0.006,0,0.006,0
"28",2,200,0.001,0.01,2000,0.0345,0.005,0.033,0.0385,0.0045,0.0365,0,0.0092,0,0.0102,0,0,0.0048,0,0.0053,0
"54",3,200,0.001,0.01,2000,0.0385,0.0065,0.037,0.041,0.0055,0.039,0,9e-04,0,0.0014,0,1e-04,0.004,1e-04,0.0044,1e-04
"3",1,200,0.001,0.1,2000,0.1985,0.016,0.192,0.204,0.0145,0.1945,0,0.0167,5e-04,0.0175,0,0.0215,0.0985,0.0225,0.0985,0.0065
