"","CausalType","N","A","B","Reps","dist.bc.MedTest","dist.jac.MedTest","dist.uw.MedTest","dist.w.MedTest","dist.clr.MedTest","dist.omn.MedTest","dist.bc.MODIMA","dist.jac.MODIMA","dist.uw.MODIMA","dist.w.MODIMA","dist.clr.MODIMA","dist.bonf.MODIMA","ldm.med.global","simes.asym","fisher.asym","hmp.asym","simes.perm","fisher.perm","hmp.perm","ccmm.boot.tide","ccmm.norm.tide"
"5",1,50,0.001,0.5,2000,0.0085,0.076,0.0485,0.0035,0.032,0.0395,0.008,0.033,0.0385,0.0035,0.0165,0.0185,0.009,0.13,0.022,0.1275,0.138,0.0165,0.1335,NA,NA
"13",2,50,0.001,0.5,2000,0.012,0.2005,0.111,0.0045,0.085,0.136,0.0115,0.1385,0.103,0.0095,0.0515,0.074,0.0185,0.2055,0.045,0.204,0.2165,0.0275,0.216,NA,NA
"21",5,50,0.001,0.5,2000,0.0135,0.2715,0.192,0.0075,0.2255,0.258,0.0095,0.2675,0.1965,0.0085,0.2755,0.1985,0.015,0.2455,0.126,0.249,0.268,0.0915,0.2725,NA,NA
"6",1,50,0.01,0.5,2000,0.0025,0.0835,0.0545,0.002,0.045,0.0495,0.0055,0.04,0.047,0.0045,0.0325,0.02,0.012,0.1935,0.0335,0.189,0.209,0.021,0.2085,NA,NA
"14",2,50,0.01,0.5,2000,0.007,0.189,0.1085,0.004,0.132,0.129,0.008,0.1395,0.082,0.0115,0.138,0.078,0.0135,0.3055,0.0795,0.313,0.3295,0.06,0.334,NA,NA
"22",5,50,0.01,0.5,2000,0.0105,0.2615,0.1945,0.004,0.336,0.297,0.012,0.273,0.198,0.0095,0.456,0.2855,0.0165,0.3695,0.256,0.3905,0.3985,0.2095,0.419,NA,NA
"7",1,50,0.1,0.5,2000,0.008,0.08,0.046,0.003,0.0665,0.052,0.0045,0.043,0.045,0.0055,0.0735,0.03,0.021,0.2805,0.05,0.2805,0.302,0.04,0.3045,NA,NA
"15",2,50,0.1,0.5,2000,0.008,0.187,0.11,0.002,0.1805,0.1445,0.0115,0.133,0.0975,0.007,0.235,0.113,0.035,0.4285,0.1525,0.444,0.461,0.1225,0.47,NA,NA
"23",5,50,0.1,0.5,2000,0.013,0.262,0.2015,0.005,0.3185,0.2855,0.0135,0.2975,0.2255,0.0095,0.477,0.307,0.038,0.4965,0.4295,0.528,0.529,0.3825,0.5655,NA,NA
"8",1,50,0.5,0.5,2000,0.009,0.083,0.0515,0.003,0.0955,0.0565,0.013,0.043,0.0465,0.004,0.1105,0.045,0.0965,0.35,0.0745,0.355,0.3815,0.069,0.384,NA,NA
"16",2,50,0.5,0.5,2000,0.0205,0.179,0.1045,0.004,0.1985,0.14,0.014,0.1305,0.109,0.007,0.2765,0.141,0.19,0.5255,0.217,0.5365,0.562,0.2025,0.573,NA,NA
