"","CausalType","N","A","B","Reps","dist.bc.MedTest","dist.jac.MedTest","dist.uw.MedTest","dist.w.MedTest","dist.clr.MedTest","dist.omn.MedTest","dist.bc.MODIMA","dist.jac.MODIMA","dist.uw.MODIMA","dist.w.MODIMA","dist.clr.MODIMA","dist.bonf.MODIMA","ldm.med.global","simes.asym","fisher.asym","hmp.asym","simes.perm","fisher.perm","hmp.perm","ccmm.boot.tide","ccmm.norm.tide","efdr.js.asym.BH","efdr.jsmix.asym.BH","efdr.js.perm.BH","efdr.jsmix.perm.BH","efdr.sobel.BH","efdr.js.asym.BY","efdr.jsmix.asym.BY","efdr.js.perm.BY","efdr.jsmix.perm.BY","efdr.sobel.BY","efdr.js.asym.HIMA","efdr.jsmix.asym.HIMA","efdr.js.perm.HIMA","efdr.jsmix.perm.HIMA","efdr.sobel.HIMA","efdr.js.asym.StoreyQ","efdr.jsmix.asym.StoreyQ","efdr.js.perm.StoreyQ","efdr.jsmix.perm.StoreyQ","efdr.sobel.StoreyQ","efdr.js.asym.SABHA","efdr.jsmix.asym.SABHA","efdr.js.perm.SABHA","efdr.jsmix.perm.SABHA","efdr.sobel.SABHA","efdr.js.asym.HMP","efdr.jsmix.asym.HMP","efdr.js.perm.HMP","efdr.jsmix.perm.HMP","efdr.sobel.HMP","efdr.jsmix.asym.HDMT","efdr.jsmix.perm.HDMT","dr.js.asym.BH","dr.jsmix.asym.BH","dr.js.perm.BH","dr.jsmix.perm.BH","dr.sobel.BH","dr.js.asym.BY","dr.jsmix.asym.BY","dr.js.perm.BY","dr.jsmix.perm.BY","dr.sobel.BY","dr.js.asym.HIMA","dr.jsmix.asym.HIMA","dr.js.perm.HIMA","dr.jsmix.perm.HIMA","dr.sobel.HIMA","dr.js.asym.StoreyQ","dr.jsmix.asym.StoreyQ","dr.js.perm.StoreyQ","dr.jsmix.perm.StoreyQ","dr.sobel.StoreyQ","dr.js.asym.SABHA","dr.jsmix.asym.SABHA","dr.js.perm.SABHA","dr.jsmix.perm.SABHA","dr.sobel.SABHA","dr.js.asym.HMP","dr.jsmix.asym.HMP","dr.js.perm.HMP","dr.jsmix.perm.HMP","dr.sobel.HMP","dr.jsmix.asym.HDMT","dr.jsmix.perm.HDMT"
"8",1,50,0,0,2000,0.002,0.004,0.002,0.002,0.0045,0.0025,0.002,0.005,0.003,0.003,0.0035,0.0015,0.0055,0.0205,0.0025,0.0195,0.03,5e-04,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,50,0,0.5,2000,0.0055,0.012,0.0045,0.002,0.0135,0.003,0.004,0.006,0.002,0.0055,0.0095,0.002,0.0085,0.0225,0.0045,0.0215,0.0275,0.0025,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2,50,0,0.5,2000,0.01,0.021,0.0095,0.0055,0.02,0.0105,0.0075,0.0105,0.0065,0.0075,0.0185,0.003,0.0155,0.024,0.009,0.024,0.0305,0.004,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,50,0.5,0,2000,0.0015,0.0345,0.012,0.0025,0.0315,0.0125,0.002,0.0195,0.009,0.0035,0.024,0.007,0.0065,0.0215,0.0025,0.021,0.029,0.001,0.0285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2,50,0.5,0,2000,0.0025,0.047,0.015,5e-04,0.0485,0.0255,0.003,0.031,0.0125,0.004,0.045,0.0085,0.009,0.0395,0.0035,0.036,0.0475,0.002,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,50,0.5,0.5,2000,0.0025,0.0625,0.0285,5e-04,0.0705,0.0435,0.0045,0.0385,0.0225,0.004,0.088,0.024,0.0785,0.4725,0.088,0.468,0.4995,0.0895,0.495,NA,NA,0,0.0091,0,0.017,0,0,4e-04,0,0.001,0,0,5e-04,0,0.001,0,0,0.0091,0,0.0177,0,0,0.0119,0,0.0187,0,0,0.004,0,0.0082,0,0.0099,0.0191,0.109,0.2805,0.141,0.295,0.085,0.0545,0.2055,0.0865,0.2265,0.0445,0.029,0.198,0.0455,0.218,0.011,0.109,0.283,0.141,0.298,0.085,0.121,0.2915,0.1505,0.3055,0.097,0.1945,0.452,0.2465,0.4705,0.1765,0.2845,0.2965
"12",2,50,0.5,0.5,2000,0.0085,0.1565,0.06,0.005,0.1735,0.128,0.009,0.124,0.054,0.006,0.2535,0.1065,0.193,0.664,0.222,0.664,0.684,0.2155,0.6825,NA,NA,0,0.0062,0,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0.0068,0,0.0082,0,0,0.0072,0,0.0092,0,0,5e-04,0,0.0012,0,0.0074,0.0102,0.0865,0.2365,0.1113,0.2478,0.0678,0.047,0.1515,0.0717,0.173,0.0378,0.0322,0.1375,0.048,0.1582,0.0195,0.0865,0.239,0.1113,0.2498,0.0678,0.0963,0.2442,0.1192,0.2585,0.0737,0.1528,0.3528,0.1912,0.3703,0.1405,0.2432,0.2547
"4",1,200,0,0,2000,0.003,0.0045,5e-04,5e-04,0.005,0.001,0.0035,0.004,0.002,0.002,0.0025,5e-04,0.002,0.026,0.0015,0.0225,0.026,0.0015,0.0245,0.1635,0.3075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,200,0,0.5,2000,0.0095,0.0295,0.0145,0.0045,0.0295,0.0145,0.0085,0.0155,0.0125,0.006,0.0205,0.006,0.017,0.0345,0.0095,0.0325,0.035,0.0065,0.034,0.134,0.2095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2,200,0,0.5,2000,0.0205,0.042,0.0235,0.009,0.0455,0.028,0.023,0.032,0.022,0.01,0.0385,0.015,0.021,0.042,0.0165,0.0395,0.045,0.013,0.0425,0.113,0.1535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
