"","CausalType","N","A","B","dist.bc.MedTest","dist.jac.MedTest","dist.uw.MedTest","dist.w.MedTest","dist.omn.MedTest","dist.bc.MODIMA","dist.jac.MODIMA","dist.uw.MODIMA","dist.w.MODIMA","simes.asym","fisher.asym","hmp.asym","simes.perm","fisher.perm","hmp.perm","ccmm.boot.tide","ccmm.norm.tide"
"1",1,200,0,0,0,0,0,0,0,0,0,0,0,0.0045,0,0.0035,0.005,0,0.0045,0.1645,0.1165
"2",1,200,0,1,0.0025,0.003,0.0035,5e-04,0.0025,0.002,0.0025,0.001,0,0.011,0.002,0.0115,0.0115,0.0015,0.0115,0.103,0.043
"3",1,200,1,0,0.0015,0.0045,0.0015,0,0.002,0.0015,0.0065,0.0025,0,0.008,0,0.008,0.008,0,0.008,0.427,0.3375
"4",1,50,0,0,0,0.001,0,0,0,0,5e-04,0.001,0,0.001,0,5e-04,0.0045,0,0.0035,NA,NA
"5",1,50,0,1,5e-04,0.002,0.001,0,0.001,0,0,0.002,0,0.005,0,0.005,0.007,0,0.007,NA,NA
"6",1,50,1,0,0,0.0065,0.003,0,0.004,0,0.0035,0.001,0,0.005,5e-04,0.005,0.0065,5e-04,0.0065,NA,NA
"7",2,200,0,1,0.0035,0.008,0.006,0.002,0.0045,0.004,0.0035,0.0025,0.0015,0.006,0.002,0.005,0.007,0.002,0.0065,0.0765,0.0265
"8",2,200,1,0,0.0055,0.0105,0.0025,0,0.0055,0.003,0.0085,0.0075,0,0.0045,0,0.005,0.005,0,0.005,0.462,0.3625
"9",2,50,0,1,0.001,0.005,0.0015,5e-04,0.0035,0.001,0.001,0.0015,5e-04,0.0035,0.001,0.0035,0.0065,5e-04,0.006,NA,NA
"10",2,50,1,0,0,0.007,0.0015,0,0.0015,0,0.006,0.0025,0,0.007,5e-04,0.007,0.013,5e-04,0.013,NA,NA
